team_full_name,team_id,game_type,game_type_id,playoff_outcome,playoff_outcome_id,years_since_last_active,start_year,team_improvement_during_regular_season,regular_season_sum,made_playoffs_sum,won_stanley_cup_sum,made_playoffs_efficiency,won_stanley_cup_efficiency,time_on_ice,regular_season_count,made_playoffs_count,won_stanely_cup_count,lost_in_stanely_cup_final_count,games_played,wins,nhl_metrics,nhl_metric_values
New Jersey Devils,1,Regular Season,2,Other,0,0,2007,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,3747.0,1,0,0,0,82,46,low_danger_chances_for,1399.0
New York Islanders,2,Regular Season,2,Other,0,0,2007,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,3637.0,1,0,0,0,82,35,low_danger_chances_for,1381.0
New York Rangers,3,Regular Season,2,Other,0,0,2007,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,3621.0,1,0,0,0,82,42,low_danger_chances_for,1393.0
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2007,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3510.0,1,0,0,0,82,42,low_danger_chances_for,1333.0
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2007,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3578.0,1,0,0,0,82,47,low_danger_chances_for,1212.0
Boston Bruins,6,Regular Season,2,Other,0,0,2007,3.8333333333333333,100,77,6,0.77,0.077922076,3715.0,1,0,0,0,82,41,low_danger_chances_for,1504.0
Buffalo Sabres,7,Regular Season,2,Other,0,0,2007,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3631.0,1,0,0,0,82,39,low_danger_chances_for,1387.0
Montreal Canadiens,8,Regular Season,2,Other,0,0,2007,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3634.0,1,0,0,0,82,47,low_danger_chances_for,1276.0
Ottawa Senators,9,Regular Season,2,Other,0,0,2007,1.5000000000000000,32,16,4,0.5,0.25,3576.0,1,0,0,0,82,43,low_danger_chances_for,1472.0
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2007,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3637.0,1,0,0,0,82,36,low_danger_chances_for,1527.0
Atlanta Thrashers,11,Regular Season,2,Other,0,14,2007,1.0512820512820513,11,1,0,0.09090909090909091,1e-09,3721.0,1,0,0,0,82,34,low_danger_chances_for,1140.0
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2007,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,3556.0,1,0,0,0,82,43,low_danger_chances_for,1578.0
Florida Panthers,13,Regular Season,2,Other,0,0,2007,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3703.0,1,0,0,0,82,38,low_danger_chances_for,1535.0
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2007,0.09433962264150943396,32,16,3,0.5,0.1875,3805.0,1,0,0,0,82,31,low_danger_chances_for,1434.0
Washington Capitals,15,Regular Season,2,Other,0,0,2007,2.5714285714285714,50,33,1,0.66,0.030303031,3675.0,1,0,0,0,82,43,low_danger_chances_for,1563.0
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2007,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3535.0,1,0,0,0,82,40,low_danger_chances_for,1237.0
Detroit Red Wings,17,Regular Season,2,Other,0,0,2007,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3586.0,1,0,0,0,82,54,low_danger_chances_for,1623.0
Nashville Predators,18,Regular Season,2,Other,0,0,2007,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,3623.0,1,0,0,0,82,41,low_danger_chances_for,1377.0
St Louis Blues,19,Regular Season,2,Other,0,0,2007,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3632.0,1,0,0,0,82,33,low_danger_chances_for,1238.0
Calgary Flames,20,Regular Season,2,Other,0,0,2007,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,3610.0,1,0,0,0,82,42,low_danger_chances_for,1365.0
Colorado Avalanche,21,Regular Season,2,Other,0,0,2007,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3751.0,1,0,0,0,82,44,low_danger_chances_for,1226.0
Edmonton Oilers,22,Regular Season,2,Other,0,0,2007,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,3636.0,1,0,0,0,82,41,low_danger_chances_for,1334.0
Vancouver Canucks,23,Regular Season,2,Other,0,0,2007,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3561.0,1,0,0,0,82,39,low_danger_chances_for,1245.0
Anaheim Ducks,24,Regular Season,2,Other,0,0,2007,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3537.0,1,0,0,0,82,47,low_danger_chances_for,1235.0
Dallas Stars,25,Regular Season,2,Other,0,0,2007,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3630.0,1,0,0,0,82,45,low_danger_chances_for,1394.0
Los Angeles Kings,26,Regular Season,2,Other,0,0,2007,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3684.0,1,0,0,0,82,32,low_danger_chances_for,1287.0
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2007,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,3696.0,1,0,0,0,82,38,low_danger_chances_for,1568.0
San Jose Sharks,28,Regular Season,2,Other,0,0,2007,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,3650.0,1,0,0,0,82,49,low_danger_chances_for,1415.0
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2007,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,3580.0,1,0,0,0,82,34,low_danger_chances_for,1365.0
Minnesota Wild,30,Regular Season,2,Other,0,0,2007,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,3683.0,1,0,0,0,82,44,low_danger_chances_for,1476.0
New Jersey Devils,1,Regular Season,2,Other,0,0,2008,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,3758.0,1,0,0,0,82,51,low_danger_chances_for,1617.0
New York Islanders,2,Regular Season,2,Other,0,0,2008,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,3688.0,1,0,0,0,82,26,low_danger_chances_for,1405.0
New York Rangers,3,Regular Season,2,Other,0,0,2008,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,3660.0,1,0,0,0,82,43,low_danger_chances_for,1469.0
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2008,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3622.0,1,0,0,0,82,44,low_danger_chances_for,1461.0
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2008,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3630.0,1,0,0,0,82,45,low_danger_chances_for,1397.0
Boston Bruins,6,Regular Season,2,Other,0,0,2008,3.8333333333333333,100,77,6,0.77,0.077922076,3806.0,1,0,0,0,82,53,low_danger_chances_for,1582.0
Buffalo Sabres,7,Regular Season,2,Other,0,0,2008,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3649.0,1,0,0,0,82,41,low_danger_chances_for,1536.0
Montreal Canadiens,8,Regular Season,2,Other,0,0,2008,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3617.0,1,0,0,0,82,41,low_danger_chances_for,1407.0
Ottawa Senators,9,Regular Season,2,Other,0,0,2008,1.5000000000000000,32,16,4,0.5,0.25,3674.0,1,0,0,0,82,36,low_danger_chances_for,1457.0
