team_full_name,team_id,game_type,game_type_id,playoff_outcome,playoff_outcome_id,years_since_last_active,start_year,team_improvement_during_regular_season,regular_season_sum,made_playoffs_sum,won_stanley_cup_sum,made_playoffs_efficiency,won_stanley_cup_efficiency,time_on_ice,regular_season_count,made_playoffs_count,won_stanely_cup_count,lost_in_stanely_cup_final_count,games_played,wins,high_danger_goals_against_per_60_minutes,high_danger_goals_for_per_60_minutes,high_danger_shots_for,low_danger_chances_for,low_danger_goals_for_per_60_minutes,medium_danger_goals_for_pct,penalty_kill_net_pct,power_play_net_pct,save_pct
Anaheim Ducks,24,Regular Season,2,Other,0,0,2007,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3537.0,1,0,0,0,82,47,0.8312128922815946,1.0517387616624259,377.0,1235.0,0.2544529262086514,0.5160999894142151,0.8504899740219116,0.1468140035867691,0.9365000128746033
Anaheim Ducks,24,Regular Season,2,Other,0,0,2008,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3655.0,1,0,0,0,82,42,1.198358413132695,1.411764705882353,461.0,1361.0,0.27906976744186046,0.5443000197410583,0.8129870295524597,0.2103549987077713,0.9240999817848206
Anaheim Ducks,24,Regular Season,2,Other,0,0,2009,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3779.0,1,0,0,0,82,39,1.1749139984122783,1.3336861603598835,465.0,1455.0,0.28578989150568934,0.5309000015258789,0.8179010152816772,0.18000000715255737,0.9279000163078308
Anaheim Ducks,24,Regular Season,2,Other,0,0,2010,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3845.0,1,0,0,0,82,47,1.3576072821846554,1.3420026007802341,489.0,1388.0,0.21846553966189858,0.4323999881744385,0.8360649943351746,0.2105260044336319,0.9230999946594238
Anaheim Ducks,24,Regular Season,2,Other,0,0,2011,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3907.0,1,0,0,0,82,34,1.3514205272587663,1.4128487330432558,504.0,1499.0,0.3071410289224469,0.3912999927997589,0.8339220285415649,0.14760099351406097,0.9158999919891357
Anaheim Ducks,24,Regular Season,2,Other,0,0,2012,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,2337.0,1,0,0,0,48,30,1.10397946084724,1.668806161745828,325.0,843.0,0.25673940949935814,0.4544999897480011,0.845678985118866,0.1777770072221756,0.9307000041007996
Anaheim Ducks,24,Regular Season,2,Other,0,0,2013,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3858.0,1,0,0,0,82,54,1.4463452566096422,1.8351477449455678,594.0,1571.0,0.38880248833592534,0.5949000120162964,0.8592590093612671,0.1309089958667755,0.9253000020980835
Anaheim Ducks,24,Regular Season,2,Other,0,0,2014,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3949.0,1,0,0,0,82,51,1.3370473537604457,1.3674347936186377,498.0,1699.0,0.2886806786528235,0.5349000096321106,0.8430650234222412,0.13191400468349457,0.9193000197410583
Anaheim Ducks,24,Regular Season,2,Other,0,0,2015,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3879.0,1,0,0,0,82,46,1.191028615622583,1.160092807424594,503.0,1693.0,0.23201856148491878,0.5142999887466431,0.8965510129928589,0.21900799870491028,0.9239000082015991
Anaheim Ducks,24,Regular Season,2,Other,0,0,2016,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3884.0,1,0,0,0,82,46,1.1277033985581875,1.4057672502574665,533.0,1505.0,0.3553038105046344,0.4844000041484833,0.8790029883384705,0.15936200320720673,0.9300000071525574
Anaheim Ducks,24,Regular Season,2,Other,0,0,2017,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3942.0,1,0,0,0,82,44,1.278538812785388,1.5981735159817352,543.0,1521.0,0.273972602739726,0.45829999446868896,0.8686130046844482,0.15887799859046936,0.9330000281333923
Anaheim Ducks,24,Regular Season,2,Other,0,0,2018,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3975.0,1,0,0,0,82,35,1.4339622641509433,1.1773584905660377,469.0,1589.0,0.3622641509433962,0.4359000027179718,0.8154979944229126,0.12264099717140198,0.9254999756813049
Anaheim Ducks,24,Regular Season,2,Other,0,0,2019,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3430.0,1,0,0,0,71,29,1.5043731778425655,1.1895043731778425,433.0,1430.0,0.31486880466472306,0.5116000175476074,0.8169010281562805,0.11956500262022018,0.9182999730110168
Anaheim Ducks,24,Regular Season,2,Other,0,0,2020,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,2764.0,1,0,0,0,56,17,1.7366136034732271,1.2373371924746743,321.0,1059.0,0.2821997105643994,0.4839000105857849,0.8109750151634216,0.04878000169992447,0.9106000065803528
Anaheim Ducks,24,Regular Season,2,Other,0,0,2021,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,4035.0,1,0,0,0,82,31,1.412639405204461,1.3680297397769516,554.0,1574.0,0.40148698884758366,0.3928999900817871,0.8348209857940674,0.20091299712657928,0.9114000201225281
Anaheim Ducks,24,Regular Season,2,Other,0,0,2022,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3992.0,1,0,0,0,82,23,1.9388777555110221,1.097194388777555,484.0,1388.0,0.3456913827655311,0.4562999904155731,0.7250000238418579,0.12663699686527252,0.9117000102996826
Anaheim Ducks,24,Regular Season,2,Other,0,0,2023,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3822.0,1,0,0,0,82,27,1.4599686028257457,1.1459968602825745,405.0,1980.0,0.282574568288854,0.3788999915122986,0.7606059908866882,0.1574459969997406,0.9093999862670898
Anaheim Ducks,24,Regular Season,2,Other,0,0,2024,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,2478.0,1,0,0,0,51,21,1.5254237288135593,1.234866828087167,272.0,1316.0,0.4600484261501211,0.3846000134944916,0.7482510209083557,0.10714200139045715,0.9193000197410583
Arizona Coyotes,53,Regular Season,2,Other,0,1,2014,0.37500000000000000000,10,1,0,0.1,1e-09,3963.0,1,0,0,0,82,24,1.4988644965934899,0.7115821347464042,426.0,1721.0,0.2573807721423164,0.45159998536109924,0.781361997127533,0.16956500709056854,0.9150000214576721
Arizona Coyotes,53,Regular Season,2,Other,0,1,2015,0.37500000000000000000,10,1,0,0.1,1e-09,3772.0,1,0,0,0,82,35,1.2407211028632026,1.256627783669141,453.0,1496.0,0.39766702014846234,0.4406999945640564,0.7861840128898621,0.12999999523162842,0.9296000003814697
