team_full_name,team_id,game_type,game_type_id,years_since_last_active,start_year,faceoff_win_pct,games_played,goals_against,goals_against_per_game,goals_for,goals_for_per_game,losses,ot_losses,penalty_kill_net_pct,penalty_kill_pct,point_pct,points,normalized_points,power_play_net_pct,power_play_pct,regulation_and_ot_wins,shots_against_per_game,shots_for_per_game,ties,wins,wins_in_regulation,wins_in_shootout,goals_for_avg_diff,goals_against_avg_diff,goals_for_per_game_avg_diff,goals_against_per_game_avg_diff,special_teams_preformance,special_teams_net_preformance,team_improvement_during_regular_season,team_improvement_during_regular_season_normalized,playoff_outcome_id,playoff_outcome,made_playoffs_count,won_stanely_cup_count,lost_in_stanely_cup_final_count
Montréal Canadiens,8,Regular Season,2,0,1917,0.0,22,84,3.81818,115,5.22727,9,0,0.0,0.0,0.5909,26,1.1070186,0.0,0.0,13,0.0,0.0,0,13,11,0,29.5000000000000000,-1.5000000000000000,0.825757563114164,-1.12878489494323,0.00,0.00,2.9230769230769231,0.265658755704826,5,Stanley Cup Runner-up,0,0,1
Montréal Canadiens,8,Playoffs,3,3,1917,0.0,2,10,5.0,7,3.5,1,0,0.0,0.0,0.5,2,-0.8856149,0.0,0.0,1,0.0,0.0,0,1,1,0,-1.5000000000000000,1.5000000000000000,-0.75,0.75,0.00,0.00,2.9230769230769231,0.265658755704826,5,Stanley Cup Runner-up,1,0,1
Ottawa Senators (1917),36,Regular Season,2,90,1917,0.0,22,114,5.18181,102,4.63636,13,0,0.0,0.0,0.40909,18,0.44280744,0.0,0.0,9,0.0,0.0,0,9,9,0,16.5000000000000000,28.5000000000000000,0.234847605228421,0.234844923019412,0.00,0.00,1.7777777777777778,0.11769516133680477,0,Other,0,0,0
Montreal Wanderers,41,Regular Season,2,106,1917,0.0,6,35,5.83333,17,2.83333,5,0,0.0,0.0,0.16666,2,-0.8856149,0.0,0.0,1,0.0,0.0,0,1,1,0,-68.5000000000000000,-50.5000000000000000,-1.56818264722824,0.886365175247195,0.00,0.00,1.00000000000000000000,0.9999998554436857,0,Other,0,0,0
Toronto Arenas,57,Playoffs,3,106,1917,0.0,2,7,3.5,10,5.0,1,0,0.0,0.0,0.5,2,-0.8856149,0.0,0.0,1,0.0,0.0,0,1,1,0,1.5000000000000000,-1.5000000000000000,0.75,-0.75,0.00,0.00,0.38461538461538461538,-0.2806884656958058,4,Stanley Cup Winners,1,1,0
Toronto Arenas,57,Regular Season,2,105,1917,0.0,22,109,4.95454,108,4.90909,9,0,0.0,0.0,0.5909,26,1.1070186,0.0,0.0,13,0.0,0.0,0,13,13,0,22.5000000000000000,23.5000000000000000,0.507577478885648,0.00757479667663841,0.00,0.00,0.38461538461538461538,-0.2806884656958058,4,Stanley Cup Winners,0,1,0
Montréal Canadiens,8,Regular Season,2,0,1918,0.0,18,78,4.33333,88,4.88888,8,0,0.0,0.0,0.55555,20,0.79901415,0.0,0.0,10,0.0,0.0,0,10,10,0,13.6666666666666667,3.6666666666666667,0.759256521860757,0.203703403472906,0.00,0.00,2.9230769230769231,0.265658755704826,0,Other,0,0,0
Montréal Canadiens,8,Playoffs,3,3,1918,0.0,5,18,3.6,26,5.2,1,0,0.0,0.0,0.8,8,-0.5326761,0.0,0.0,4,0.0,0.0,0,4,4,0,4.0000000000000000,-4.0000000000000000,0.799999952316287,-0.799999952316282,0.00,0.00,2.9230769230769231,0.265658755704826,0,Other,1,0,0
Ottawa Senators (1917),36,Regular Season,2,90,1918,0.0,18,53,2.94444,71,3.94444,6,0,0.0,0.0,0.66666,24,1.242911,0.0,0.0,12,0.0,0.0,0,12,9,0,-3.3333333333333333,-21.3333333333333333,-0.185183366139731,-1.18518686294555,0.00,0.00,1.7777777777777778,0.11769516133680477,0,Other,0,0,0
Ottawa Senators (1917),36,Playoffs,3,94,1918,0.0,5,26,5.2,18,3.6,4,0,0.0,0.0,0.2,2,-1.1985213,0.0,0.0,1,0.0,0.0,0,1,1,0,-4.0000000000000000,4.0000000000000000,-0.799999952316282,0.799999952316287,0.00,0.00,1.7777777777777778,0.11769516133680477,0,Other,1,0,0
