season_id,start_year,winning_team_id,winning_team,losing_team_id,losing_team
19171918,1917,57,Toronto Arenas,8,Montreal Canadiens
19181919,1918,,Spanish Flu,,
19191920,1919,9,Ottawa Senators,58,Toronto St. Patricks
19201921,1920,9,Ottawa Senators,58,Toronto St. Patricks
19211922,1921,58,Toronto St. Patricks,9,Ottawa Senators
19221923,1922,9,Ottawa Senators,22,Edmonton Oilers
19231924,1923,8,Montreal Canadiens,20,Calgary Flames
19241925,1924,8,Montreal Canadiens,58,Toronto St. Patricks
19251926,1925,43,Montreal Maroons,58,Toronto St. Patricks
19261927,1926,9,Ottawa Senators,6,Boston Bruins
19271928,1927,3,New York Rangers,43,Montreal Maroons
19281929,1928,6,Boston Bruins,3,New York Rangers
19291930,1929,8,Montreal Canadiens,6,Boston Bruins
19301931,1930,8,Montreal Canadiens,16,Chicago Blackhawks
19311932,1931,10,Toronto Maple Leafs,3,New York Rangers
19321933,1932,3,New York Rangers,10,Toronto Maple Leafs
19331934,1933,16,Chicago Blackhawks,17,Detroit Red Wings
19341935,1934,43,Montreal Maroons,10,Toronto Maple Leafs
19351936,1935,17,Detroit Red Wings,10,Toronto Maple Leafs
19361937,1936,17,Detroit Red Wings,3,New York Rangers
19371938,1937,16,Chicago Blackhawks,10,Toronto Maple Leafs
19381939,1938,6,Boston Bruins,10,Toronto Maple Leafs
19391940,1939,3,New York Rangers,10,Toronto Maple Leafs
19401941,1940,6,Boston Bruins,17,Detroit Red Wings
19411942,1941,10,Toronto Maple Leafs,17,Detroit Red Wings
19421943,1942,17,Detroit Red Wings,6,Boston Bruins
19431944,1943,8,Montreal Canadiens,16,Chicago Blackhawks
19441945,1944,10,Toronto Maple Leafs,17,Detroit Red Wings
19451946,1945,8,Montreal Canadiens,6,Boston Bruins
19461947,1946,10,Toronto Maple Leafs,8,Montreal Canadiens
19471948,1947,10,Toronto Maple Leafs,17,Detroit Red Wings
19481949,1948,10,Toronto Maple Leafs,17,Detroit Red Wings
19491950,1949,17,Detroit Red Wings,3,New York Rangers
19501951,1950,10,Toronto Maple Leafs,8,Montreal Canadiens
19511952,1951,17,Detroit Red Wings,8,Montreal Canadiens
19521953,1952,8,Montreal Canadiens,6,Boston Bruins
19531954,1953,17,Detroit Red Wings,8,Montreal Canadiens
19541955,1954,17,Detroit Red Wings,8,Montreal Canadiens
19551956,1955,8,Montreal Canadiens,17,Detroit Red Wings
19561957,1956,8,Montreal Canadiens,6,Boston Bruins
19571958,1957,8,Montreal Canadiens,6,Boston Bruins
19581959,1958,8,Montreal Canadiens,10,Toronto Maple Leafs
19591960,1959,8,Montreal Canadiens,10,Toronto Maple Leafs
19601961,1960,16,Chicago Blackhawks,17,Detroit Red Wings
19611962,1961,10,Toronto Maple Leafs,16,Chicago Blackhawks
19621963,1962,10,Toronto Maple Leafs,17,Detroit Red Wings
19631964,1963,10,Toronto Maple Leafs,17,Detroit Red Wings
