faceoff_win_pct,games_played,goals_against,goals_against_per_game,goals_for,goals_for_per_game,losses,overtime_losses,penalty_kill_net_pct,penalty_kill_pct,points_pct,points,power_play_net_pct,power_play_pct,regulation_and_overtime_wins,season_id,shots_against_per_game,shots_for_per_game,team_full_name,team_id,ties,wins,wins_in_regulation,wins_in_shootout,game_type,team,time_on_ice,corsi_for,corsi_against,corsi_for_pct,fenwick_for,fenwick_against,fenwick_for_pct,shots_for,shots_against,shots_for_pct,goals_for_pct,expected_goals_for,expected_goals_against,expected_goals_for_pct,scoring_chances_for,scoring_chances_against,scoring_chances_for_pct,scoring_chances_shots_for,scoring_chances_shots_against,scoring_chances_shots_for_pct,scoring_chances_goals_for,scoring_chances_goals_against,scoring_chances_goals_for_pct,scoring_chances_shooting_pct,scoring_chances_save_pct,high_danger_chances_for,high_danger_chances_against,high_danger_chances_for_pct,high_danger_shots_for,high_danger_shots_against,high_danger_shots_for_pct,high_danger_goals_for,high_danger_goals_against,high_danger_goals_for_pct,high_danger_shooting_pct,high_danger_save_pct,medium_danger_chances_for,medium_danger_chances_against,medium_danger_chances_for_pct,medium_danger_shots_for,medium_danger_shots_against,medium_danger_shots_for_pct,medium_danger_goals_for,medium_danger_goals_against,medium_danger_goals_for_pct,medium_danger_shooting_pct,medium_danger_save_pct,low_danger_chances_for,low_danger_chances_against,low_danger_chances_for_pct,low_danger_shots_for,low_danger_shots_against,low_danger_shots_for_pct,low_danger_goals_for,low_danger_goals_against,low_danger_goals_for_pct,low_danger_shooting_pct,low_danger_save_pct,shooting_pct,save_pct,pdo_rating,season
,22,84,3.81818,115,5.22727,9,,,,0.5909,26,,,13,19171918,,,Montreal Canadiens,8,0.0,13,11,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,114,5.18181,102,4.63636,13,,,,0.40909,18,,,9,19171918,,,Ottawa Senators (1917),36,0.0,9,9,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,109,4.95454,108,4.90909,9,,,,0.5909,26,,,13,19171918,,,Toronto Arenas,57,0.0,13,13,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,35,5.83333,17,2.83333,5,,,,0.16666,2,,,1,19171918,,,Montreal Wanderers,41,0.0,1,1,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,78,4.33333,88,4.88888,8,,,,0.55555,20,,,10,19181919,,,Montreal Canadiens,8,0.0,10,10,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,53,2.94444,71,3.94444,6,,,,0.66666,24,,,12,19181919,,,Ottawa Senators (1917),36,0.0,12,9,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,92,5.11111,64,3.55555,13,,,,0.27777,10,,,5,19181919,,,Toronto Arenas,57,0.0,5,5,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,113,4.70833,129,5.375,11,,,,0.54166,26,,,13,19191920,,,Montreal Canadiens,8,0.0,13,12,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,177,7.375,91,3.79166,20,,,,0.16666,8,,,4,19191920,,,Quebec Bulldogs,42,0.0,4,3,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,64,2.66666,121,5.04166,5,,,,0.79166,38,,,19,19191920,,,Ottawa Senators (1917),36,0.0,19,17,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,106,4.41666,119,4.95833,12,,,,0.5,24,,,12,19191920,,,Toronto St Patricks,58,0.0,12,12,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,99,4.125,112,4.66666,11,,,,0.54166,26,,,13,19201921,,,Montreal Canadiens,8,0.0,13,13,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,132,5.5,92,3.83333,18,,,,0.25,12,,,6,19201921,,,Hamilton Tigers,37,0.0,6,4,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,75,3.125,97,4.04166,10,,,,0.58333,28,,,14,19201921,,,Ottawa Senators (1917),36,0.0,14,13,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,100,4.16666,105,4.375,9,,,,0.625,30,,,15,19201921,,,Toronto St Patricks,58,0.0,15,13,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,94,3.91666,88,3.66666,11,,,,0.52083,25,,,12,19211922,,,Montreal Canadiens,8,1.0,12,12,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,105,4.375,88,3.66666,17,,,,0.29166,14,,,7,19211922,,,Hamilton Tigers,37,0.0,7,6,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,84,3.5,106,4.41666,8,,,,0.625,30,,,14,19211922,,,Ottawa Senators (1917),36,2.0,14,12,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,97,4.04166,98,4.08333,10,,,,0.5625,27,,,13,19211922,,,Toronto St Patricks,58,1.0,13,13,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,61,2.54166,73,3.04166,9,,,,0.58333,28,,,13,19221923,,,Montreal Canadiens,8,2.0,13,13,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,110,4.58333,81,3.375,18,,,,0.25,12,,,6,19221923,,,Hamilton Tigers,37,0.0,6,4,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,54,2.25,77,3.20833,9,,,,0.60416,29,,,14,19221923,,,Ottawa Senators (1917),36,1.0,14,13,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,88,3.66666,82,3.41666,10,,,,0.5625,27,,,13,19221923,,,Toronto St Patricks,58,1.0,13,10,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,48,2.0,59,2.45833,11,,,,0.54166,26,,,13,19231924,,,Montreal Canadiens,8,0.0,13,11,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,68,2.83333,63,2.625,15,,,,0.375,18,,,9,19231924,,,Hamilton Tigers,37,0.0,9,8,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,54,2.25,74,3.08333,8,,,,0.66666,32,,,16,19231924,,,Ottawa Senators (1917),36,0.0,16,13,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,85,3.54166,59,2.45833,14,,,,0.41666,20,,,10,19231924,,,Toronto St Patricks,58,0.0,10,10,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,56,1.86666,93,3.1,11,,,,0.6,36,,,17,19241925,,,Montreal Canadiens,8,2.0,17,16,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,60,2.0,90,3.0,10,,,,0.65,39,,,19,19241925,,,Hamilton Tigers,37,1.0,19,18,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,65,2.16666,45,1.5,19,,,,0.33333,20,,,9,19241925,,,Montreal Maroons,43,2.0,9,9,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,66,2.2,83,2.76666,12,,,,0.58333,35,,,17,19241925,,,Ottawa Senators (1917),36,1.0,17,14,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,84,2.8,90,3.0,11,,,,0.63333,38,,,19,19241925,,,Toronto St Patricks,58,0.0,19,19,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,119,3.96666,49,1.63333,24,,,,0.2,12,,,6,19241925,,,Boston Bruins,6,0.0,6,4,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,108,3.0,79,2.19444,24,,,,0.31944,23,,,11,19251926,,,Montreal Canadiens,8,1.0,11,10,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,73,2.02777,91,2.52777,11,,,,0.625,45,,,20,19251926,,,Montreal Maroons,43,5.0,20,17,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,70,1.94444,82,2.27777,16,,,,0.54166,39,,,19,19251926,,,Pittsburgh Pirates,38,1.0,19,17,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,42,1.16666,77,2.13888,8,,,,0.72222,52,,,24,19251926,,,Ottawa Senators (1917),36,4.0,24,23,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,89,2.47222,68,1.88888,20,,,,0.38888,28,,,12,19251926,,,New York Americans,44,4.0,12,9,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,114,3.16666,92,2.55555,21,,,,0.375,27,,,12,19251926,,,Toronto St Patricks,58,3.0,12,12,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,85,2.36111,92,2.55555,15,,,,0.52777,38,,,17,19251926,,,Boston Bruins,6,4.0,17,15,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,67,1.52272,99,2.25,14,,,,0.65909,58,,,28,19261927,,,Montreal Canadiens,8,2.0,28,24,0,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
